Category: All categories

Time,Trump: (United States),Kamala Harris: (United States),Election: (United States)
2024-09-28T12:04:00-05:00,45,11,10
2024-09-28T12:12:00-05:00,41,11,10
2024-09-28T12:20:00-05:00,40,10,10
2024-09-28T12:28:00-05:00,50,11,11
2024-09-28T12:36:00-05:00,43,11,9
2024-09-28T12:44:00-05:00,42,12,11
2024-09-28T12:52:00-05:00,43,11,11
2024-09-28T13:00:00-05:00,42,12,11
2024-09-28T13:08:00-05:00,43,12,11
2024-09-28T13:16:00-05:00,42,12,12
2024-09-28T13:24:00-05:00,44,10,11
2024-09-28T13:32:00-05:00,42,10,11
2024-09-28T13:40:00-05:00,38,11,11
2024-09-28T13:48:00-05:00,40,11,11
2024-09-28T13:56:00-05:00,43,10,10
2024-09-28T14:04:00-05:00,41,10,10
2024-09-28T14:12:00-05:00,43,11,11
2024-09-28T14:20:00-05:00,42,10,10
2024-09-28T14:28:00-05:00,42,11,10
2024-09-28T14:36:00-05:00,41,10,9
2024-09-28T14:44:00-05:00,43,10,10
2024-09-28T14:52:00-05:00,43,11,10
2024-09-28T15:00:00-05:00,41,10,11
2024-09-28T15:08:00-05:00,44,12,11
2024-09-28T15:16:00-05:00,44,11,10
2024-09-28T15:24:00-05:00,45,11,11
2024-09-28T15:32:00-05:00,40,11,11
2024-09-28T15:40:00-05:00,44,13,11
2024-09-28T15:48:00-05:00,48,13,10
2024-09-28T15:56:00-05:00,46,11,10
2024-09-28T16:04:00-05:00,43,11,10
2024-09-28T16:12:00-05:00,41,11,10
2024-09-28T16:20:00-05:00,45,15,10
2024-09-28T16:28:00-05:00,39,12,11
2024-09-28T16:36:00-05:00,42,12,10
2024-09-28T16:44:00-05:00,43,13,11
2024-09-28T16:52:00-05:00,44,11,9
2024-09-28T17:00:00-05:00,43,10,10
2024-09-28T17:08:00-05:00,44,12,10
2024-09-28T17:16:00-05:00,44,11,10
2024-09-28T17:24:00-05:00,45,11,10
2024-09-28T17:32:00-05:00,41,10,10
2024-09-28T17:40:00-05:00,41,10,10
2024-09-28T17:48:00-05:00,40,11,9
2024-09-28T17:56:00-05:00,45,11,10
2024-09-28T18:04:00-05:00,43,13,10
2024-09-28T18:12:00-05:00,47,12,10
2024-09-28T18:20:00-05:00,50,12,10
2024-09-28T18:28:00-05:00,48,12,10
2024-09-28T18:36:00-05:00,55,12,10
2024-09-28T18:44:00-05:00,66,12,10
2024-09-28T18:52:00-05:00,66,11,10
2024-09-28T19:00:00-05:00,64,12,10
2024-09-28T19:08:00-05:00,71,21,11
2024-09-28T19:16:00-05:00,63,13,10
2024-09-28T19:24:00-05:00,64,12,10
2024-09-28T19:32:00-05:00,100,25,13
2024-09-28T19:40:00-05:00,82,15,11
2024-09-28T19:48:00-05:00,61,13,11
2024-09-28T19:56:00-05:00,59,13,10
2024-09-28T20:04:00-05:00,67,18,12
2024-09-28T20:12:00-05:00,57,15,10
2024-09-28T20:20:00-05:00,58,13,12
2024-09-28T20:28:00-05:00,59,12,10
2024-09-28T20:36:00-05:00,59,13,10
2024-09-28T20:44:00-05:00,58,15,10
2024-09-28T20:52:00-05:00,58,15,11
2024-09-28T21:00:00-05:00,56,15,11
2024-09-28T21:08:00-05:00,54,13,11
2024-09-28T21:16:00-05:00,56,15,10
2024-09-28T21:24:00-05:00,55,13,10
2024-09-28T21:32:00-05:00,54,13,11
2024-09-28T21:40:00-05:00,54,11,10
2024-09-28T21:48:00-05:00,51,12,11
2024-09-28T21:56:00-05:00,55,12,11
